RANK2015;RANK2014;INSTITUTION;COUNTRY;SIZE;FOCUS;RESEARCH;AGE;STATUS;AR SCORE;AR RANK;ER SCORE;ER RANK;FS SCORE;FS RANK;CPF SCORE;CPF RANK;IF SCORE;IF RANK;IS SCORE;IS RANK;OVERALL SCORE
1;1;MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ;US;M;CO;VH;5;B;100;6;100;4;100;15;100;9;100;31;95,5;62;100
2;4;HARVARD UNIVERSITY;US;L;FC;VH;5;B;100;1;100;3;98,6;40;100;8;99,9;44;76;155;98,7
  3=;  2=;UNIVERSITY OF CAMBRIDGE;UK;L;FC;VH;5;A;100;2;100;2;100;16;93,7;42;96,2;80;96,6;54;98,6
  3=;7;STANFORD UNIVERSITY;US;L;FC;VH;5;A;100;5;100;6;99,5;32;99,9;12;97,6;66;72,8;170;98,6
5;8;CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH);US;S;CO;VH;5;B;99,8;23;89,6;75;100;6;100;3;90,2;126;85,2;120;97,9
6;  5=;UNIVERSITY OF OXFORD;UK;L;FC;VH;5;A;100;3;100;1;100;10;88,9;63;97,8;61;96,6;55;97,7
7;  5=;UCL (UNIVERSITY COLLEGE LONDON);UK;L;FC;VH;5;A;99,9;15;99,8;17;98,6;41;88;67;95,5;87;99,9;18;97,2
8;  2=;IMPERIAL COLLEGE LONDON;UK;L;FC;VH;5;A;99,9;17;100;8;99,9;23;79,6;108;100;38;100;13;96,1
9;12;ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY);CH;L;CO;VH;5;A;99,9;19;99;28;78,6;140;98,8;21;100;13;98;41;95,5
10;11;UNIVERSITY OF CHICAGO;US;L;FC;VH;5;B;99,9;13;96,3;48;93,8;60;91,5;51;73,4;197;81,6;135;94,6
11;9;PRINCETON UNIVERSITY;US;M;CO;VH;5;B;100;11;98,5;30;92,9;65;100;4;47,2;303;68,2;192;94,4
12;22;NATIONAL UNIVERSITY OF SINGAPORE (NUS);SG;XL;FC;VH;5;A;100;9;100;9;92,9;67;78,9;110;100;25;92,5;81;94,2
13;39;NANYANG TECHNOLOGICAL UNIVERSITY (NTU);SG;L;FC;VH;2;A;95,3;52;97,5;39;94,2;56;86,5;73;100;15;94;72;93,9
14;  17=;ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL);CH;M;FO;VH;5;A;89,1;71;93,6;60;93,6;63;99,3;17;100;14;100;11;93,8
15;10;YALE UNIVERSITY;US;L;FC;VH;5;B;100;10;100;11;100;7;71,3;149;89,9;127;65,5;204;92,2
16;  14=;JOHNS HOPKINS UNIVERSITY;US;L;FC;VH;5;B;97,2;41;74;136;100;13;84,9;81;96,6;75;71,2;179;91,9
17;19;CORNELL UNIVERSITY;US;L;FC;VH;5;B;99,9;21;96,7;44;73,9;165;97,1;31;90,2;125;66;202;91,8
18;13;UNIVERSITY OF PENNSYLVANIA;US;L;FC;VH;5;B;98,8;33;97,4;40;100;17;80,5;102;52,9;278;66,6;196;91,5
  19=;  25=;AUSTRALIAN NATIONAL UNIVERSITY (ANU);AU;L;FC;VH;4;A;99,6;26;94,4;59;68,9;191;89,4;61;100;30;96,7;53;91
  19=;16;KING'S COLLEGE LONDON (KCL);UK;L;FC;VH;5;A;95,2;53;95,9;51;89,9;84;77,5;120;95,4;90;98,2;37;91
21;  17=;UNIVERSITY OF EDINBURGH;UK;L;FC;VH;5;A;99,7;24;98;36;85,3;103;71,5;148;93,1;112;97,9;42;90,8
22;  14=;COLUMBIA UNIVERSITY;US;L;FC;VH;5;B;100;12;99,4;27;100;18;67;170;33;380;89,8;93;89,7
23;24;ECOLE NORMALE SUPÉRIEURE, PARIS (ENS PARIS);FR;S;SP;VH;5;B;89,6;68;78,9;117;91,9;74;100;7;55,6;266;82,6;130;89,2
24;21;MCGILL UNIVERSITY;CA;L;FC;VH;5;A;99,1;32;94,7;56;80,8;130;70,4;157;88,3;132;92,3;82;88,6
25;47;TSINGHUA UNIVERSITY;CN;XL;FC;VH;5;A;99,6;27;99,5;24;87,5;92;84,2;86;47,8;301;36,1;398;88,5
26;27;UNIVERSITY OF CALIFORNIA, BERKELEY (UCB);US;XL;FC;VH;5;A;100;4;99,9;14;46,9;346;99,9;13;96,8;70;79,3;143;88,4
27;  37=;UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA);US;XL;FC;VH;4;A;100;8;99,7;19;74,2;163;89,6;59;57,4;259;49;297;88,2
28;40;THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST);HK;M;CO;VH;2;A;94,3;56;91,8;67;65,8;209;89,4;62;100;16;97;52;88
29;  25=;DUKE UNIVERSITY;US;L;FC;VH;5;B;96,4;44;84,6;96;99,8;28;85,4;79;15,2;401+;57,4;243;87,9
  30=;23;UNIVERSITY OF MICHIGAN;US;XL;FC;VH;5;A;99,9;20;91,4;69;81,3;127;84,5;82;65,4;226;42,2;348;87,8
  30=;28;UNIVERSITY OF HONG KONG (HKU);HK;L;FC;VH;5;A;99,5;28;97,4;41;84,5;107;56,3;255;100;21;98,6;31;87,8
32;34;NORTHWESTERN UNIVERSITY;US;L;FC;VH;5;B;94;58;81,1;107;92,3;72;96,4;35;29,9;401+;51,7;275;87,7
33;30;THE UNIVERSITY OF MANCHESTER;UK;XL;FC;VH;5;A;99,3;30;99,9;13;79,4;136;61,9;209;83,9;157;97,1;50;87,2
34;20;UNIVERSITY OF TORONTO;CA;XL;FC;VH;5;A;99,9;14;95,6;53;82,6;117;57,3;249;97,1;68;90,3;90;87,1
35;  71=;LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE);UK;M;SP;VH;5;A;93,8;59;100;5;65;213;77,6;119;100;24;100;8;86,2
36;  31=;SEOUL NATIONAL UNIVERSITY (SNU);KR;L;FC;VH;4;A;99,2;31;96,6;47;84,2;111;79;109;30,2;399;33,2;401+;85,3
37;29;UNIVERSITY OF BRISTOL;UK;L;FC;VH;5;A;92,1;64;98,2;35;79,7;134;69;161;86,1;142;81,2;136;85
38;36;KYOTO UNIVERSITY;JP;L;FC;VH;5;A;99,9;18;96,6;46;94,1;57;71,5;147;17,8;401+;21,4;401+;84,9
39;  31=;THE UNIVERSITY OF TOKYO;JP;L;FC;VH;5;A;100;7;99,9;15;96,3;47;64,9;188;22,4;401+;25,9;401+;84,8
40;35;ECOLE POLYTECHNIQUE PARISTECH;FR;S;CO;VH;5;A;73,5;128;99,6;23;99,2;37;75,7;132;96,2;81;88,5;100;83,8
41;  57=;PEKING UNIVERSITY;CN;XL;FC;VH;5;A;99,9;16;99,8;16;73;167;70,8;155;50,5;289;45,2;325;83,7
42;33;THE UNIVERSITY OF MELBOURNE;AU;XL;FC;VH;5;A;99,8;22;99,8;18;39,5;401+;80,9;100;80,1;170;97,9;43;83,1
43;51;KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY;KR;M;CO;VH;3;A;89,4;69;86,6;85;78,5;141;100;10;28,9;401+;17,3;401+;82,6
44;59;UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD);US;L;FC;VH;4;A;98;38;71,3;149;66,8;203;94,5;40;31,3;391;42,4;347;82,5
45;  37=;THE UNIVERSITY OF SYDNEY;AU;XL;FC;VH;5;A;99,5;29;99,4;25;39,7;401+;72,7;141;99,4;50;89,8;94;81,9
  46=;48;THE UNIVERSITY OF NEW SOUTH WALES (UNSW);AU;XL;FC;VH;4;A;96,9;42;99,6;22;36,4;401+;80;106;100;32;92,7;80;81,8
  46=;  43=;THE UNIVERSITY OF QUEENSLAND (UQ);AU;XL;FC;VH;5;A;95,6;47;91,3;70;41,9;397;84;88;99,6;48;82,4;132;81,8
48;61;THE UNIVERSITY OF WARWICK;UK;L;FC;VH;4;A;90,4;66;99,7;20;62,4;238;66,3;176;93,5;106;98,1;39;81,6
49;  52=;BROWN UNIVERSITY;US;M;FC;VH;5;B;81,9;98;71,2;150;81,7;124;96,6;32;49,4;294;66,2;198;81,5
50;  43=;UNIVERSITY OF BRITISH COLUMBIA;CA;XL;FC;VH;5;A;99,6;25;95,8;52;47;345;73,7;138;85,4;145;63,2;217;81,2
  51=;46;THE CHINESE UNIVERSITY OF HONG KONG (CUHK);HK;L;FC;VH;4;A;95,4;50;85,6;90;69,3;188;61,2;217;97,8;62;63,7;215;81,1
  51=;  71=;FUDAN UNIVERSITY;CN;L;FC;VH;5;A;94,1;57;96,9;43;61,3;247;81;99;52,2;284;49,4;293;81,1
53;  41=;NEW YORK UNIVERSITY (NYU);US;XL;FC;VH;5;B;98,8;34;97,8;37;94,8;52;35,7;401+;15,1;401+;82,3;133;80,5
54;  41=;UNIVERSITY OF WISCONSIN-MADISON;US;XL;FC;VH;5;A;97,4;40;62,1;214;85,7;102;66,9;171;51,6;288;36,1;399;80,3
55;50;UNIVERSITY OF AMSTERDAM;NL;L;FC;VH;5;A;95,1;54;88,1;80;54,3;284;84,4;85;70;207;37,8;387;80,2
56;68;TOKYO INSTITUTE OF TECHNOLOGY;JP;M;CO;VH;5;A;86,2;79;84,5;97;87,2;94;80,4;104;23,8;401+;32,1;401+;79,4
57;108;CITY UNIVERSITY OF HONG KONG;HK;M;CO;VH;3;A;72,7;131;50,7;297;81,9;122;93,4;43;100;20;95,4;63;79,2
58;  55=;OSAKA UNIVERSITY;JP;L;FC;VH;4;A;92,5;62;80,9;108;86,8;96;69,2;160;15,9;401+;19,8;401+;78,3
59;63;UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN;US;XL;FC;VH;5;A;97,7;39;75,8;131;22,2;401+;98,2;23;62,1;238;70;183;77,5
60;54;TECHNISCHE UNIVERSITÄT MÜNCHEN;DE;XL;CO;VH;5;A;90,4;67;98,3;33;90,3;78;36;401+;53;277;65,2;208;77,3
61;  92=;DURHAM UNIVERSITY;UK;L;FC;VH;5;A;75,4;121;98,4;31;48,7;325;90,6;54;91,7;117;88,1;103;77
  62=;  65=;CARNEGIE MELLON UNIVERSITY;US;L;FC;VH;5;B;88,1;74;83,9;100;35,1;401+;99,9;14;20,9;401+;99,3;26;76,8
  62=;  55=;UNIVERSITY OF GLASGOW;UK;L;FC;VH;5;A;87,5;76;68,3;169;64,4;220;64,4;191;86,9;139;94,4;69;76,8
64;  86=;DELFT UNIVERSITY OF TECHNOLOGY;NL;L;CO;VH;5;A;83,9;91;89,4;76;31,7;401+;96,1;37;93,2;111;71,2;180;76,5
65;  65=;UNIVERSITY OF WASHINGTON;US;XL;FC;VH;5;A;95,5;48;55,8;254;54,1;285;94,5;39;8,1;401+;43,8;337;76,3
66;49;RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG;DE;L;FC;VH;5;A;95,5;49;80,5;109;77,6;146;43,3;344;49,5;293;59,6;229;76,1
67;70;MONASH UNIVERSITY;AU;XL;FC;VH;4;A;94,5;55;96,9;42;26,6;401+;67,1;169;98,4;57;93,7;75;76
68;88;UNIVERSITY OF ST ANDREWS;UK;M;FC;VH;5;A;65,9;155;68,2;171;79;138;84,5;83;96,6;77;99,9;19;75,9
69;45;UNIVERSITY OF COPENHAGEN;DK;L;FC;VH;5;A;89,1;72;77,7;123;99,9;24;30,8;401+;82;161;37,8;388;75,7
  70=;76;NATIONAL TAIWAN UNIVERSITY (NTU);TW;XL;FC;VH;4;A;98;37;75;133;46,1;353;85,9;77;18,8;401+;23;401+;75,4
  70=;60;LUND UNIVERSITY;SE;L;FC;VH;5;A;89,3;70;84,2;99;58,1;261;58,1;246;83,5;158;72,7;171;75,4
  70=;104;SHANGHAI JIAO TONG UNIVERSITY;CN;XL;FC;VH;5;A;88,8;73;95,9;50;47,3;338;83,8;89;60,8;243;17,7;401+;75,4
  70=;77;THE UNIVERSITY OF NOTTINGHAM;UK;XL;FC;VH;5;A;80,6;103;96,7;45;61,1;249;61,9;211;87,3;137;87,6;104;75,4
74;  71=;TOHOKU UNIVERSITY;JP;L;FC;VH;5;A;86;81;72,1;146;97,1;45;61,4;214;16,5;401+;18,4;401+;75,2
75;  52=;LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN;DE;XL;FC;VH;5;A;98,1;36;91,6;68;49,8;315;56,8;252;57,1;260;39,9;361;74,7
76;64;UNIVERSITY OF BIRMINGHAM;UK;L;FC;VH;5;A;82,4;96;94,9;55;60,4;252;57,6;247;85,1;150;83,4;128;74,6
77;79;UNIVERSITY OF TEXAS AT AUSTIN;US;XL;FC;VH;5;A;98,5;35;85,8;89;20,9;401+;97,5;27;26,6;401+;27,2;401+;74,5
78;  71=;TRINITY COLLEGE DUBLIN (TCD);IE;L;FC;VH;5;A;82,5;95;73,8;137;60,7;251;63;203;95,8;83;84,6;124;74,3
79;62;UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL;US;L;FC;VH;5;A;84,1;90;45,7;340;81,7;125;79,9;107;38,1;349;21,2;401+;73,7
80;69;THE UNIVERSITY OF SHEFFIELD;UK;L;FC;VH;5;A;79;109;79,7;113;66,3;207;59;236;81,5;163;95;65;73,6
81;94;UNIVERSITY OF SOUTHAMPTON;UK;L;FC;VH;5;A;72,9;130;64;200;76,6;150;63,5;196;89,2;128;92,3;83;72,8
  82=;  92=;THE UNIVERSITY OF AUCKLAND;NZ;L;FC;VH;5;A;92,7;61;93,6;61;27,2;401+;58,5;242;85,2;146;88,4;101;72,4
  82=;82;KATHOLIEKE UNIVERSITEIT LEUVEN ;BE;XL;FC;VH;5;A;92,4;63;76,4;129;15;401+;92,6;46;80;171;41,6;351;72,4
84;107;GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH);US;L;CO;VH;5;A;81,8;99;78,2;121;44,5;364;89,9;56;6,5;401+;86,9;110;72,3
  85=;95;UNIVERSITY OF CALIFORNIA, DAVIS (UCD);US;XL;FC;VH;5;A;85,8;82;62;215;35,5;401+;93,9;41;65,7;225;46,9;311;72,2
  85=;  57=;UNIVERSITY OF ZURICH;CH;L;FC;VH;5;A;78,1;113;72,7;142;90,8;77;36;401+;100;37;62,6;220;72,2
  87=;97;UNIVERSITY OF LEEDS;UK;L;FC;VH;5;A;81,7;100;90,7;71;57,9;263;55,2;261;75,8;186;73,7;168;72
  87=;  86=;POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH);KR;S;FO;VH;3;B;56,1;194;64,9;191;99,6;31;100;6;49,7;291;10;401+;72
  89=;102;PURDUE UNIVERSITY;US;XL;FC;VH;5;A;81;102;77,2;125;38,2;401+;73,3;140;94,1;97;78,1;149;71,2
  89=;85;UNIVERSITY OF GENEVA;CH;L;FC;VH;5;A;69,8;143;34,2;401+;62,3;240;86,5;72;100;28;99;27;71,2
91;78;BOSTON UNIVERSITY;US;L;FC;VH;5;B;78,5;110;85,6;91;62,5;235;71,2;151;11;401+;73,7;166;71,1
92;110;KTH, ROYAL INSTITUTE OF TECHNOLOGY;SE;L;CO;VH;5;A;64,1;167;88;81;67,7;196;80,9;101;86,1;143;46,2;315;70,9
93;  127=;KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE;DE;L;CO;VH;4;A;64;168;96,2;49;84,7;106;65,8;180;57,1;261;48,6;299;70,8
94;80;UTRECHT UNIVERSITY;NL;XL;FC;VH;5;A;83,7;93;69;161;47,1;339;84,5;84;59,4;248;17,9;401+;70,7
95;75;LEIDEN UNIVERSITY;NL;L;FC;VH;5;A;87,1;77;55,2;262;43,6;377;83,2;91;66,7;221;21,1;401+;70,3
  96=;67;UNIVERSITY OF HELSINKI;FI;L;CO;VH;5;A;83,7;92;64,7;192;94,6;53;36,8;400;59,9;247;14,8;401+;70,1
  96=;84;UNIVERSITY OF ALBERTA;CA;XL;FC;VH;5;A;79,5;105;68,7;164;56,7;272;56,5;254;90,3;124;82,9;129;70,1
98;89;THE UNIVERSITY OF WESTERN AUSTRALIA (UWA);AU;L;FC;VH;5;A;79,3;108;70,3;153;35,2;401+;76,1;130;99,7;47;65,6;203;69,4
99;109;OHIO STATE UNIVERSITY;US;XL;FC;VH;5;A;82;97;57,4;243;71,9;174;47;310;80,4;168;55,2;252;69,3
100;  90=;UNIVERSITY OF GRONINGEN;NL;L;FC;VH;5;A;69,1;148;58,5;234;81,1;128;48;304;93,4;110;94,2;70;68,8
101;112;PENNSYLVANIA STATE UNIVERSITY;US;XL;FC;VH;5;A;85,7;84;73,3;138;34;401+;86,1;76;13,2;401+;45,5;320;68,7
102;81;UPPSALA UNIVERSITY;SE;L;FC;VH;5;A;85,7;85;65,6;183;47;342;64,2;193;28,4;401+;75,8;156;68,4
103;120;UNIVERSITY OF YORK;UK;L;FC;HI;4;A;67,7;152;70,1;154;51,5;304;76,6;127;87,1;138;81,1;137;68,3
104;  116=;KOREA UNIVERSITY;KR;L;FC;VH;5;B;78,4;112;84,6;95;83,2;116;42,6;349;21,4;401+;39,2;370;68,2
105;106;YONSEI UNIVERSITY;KR;L;FC;VH;5;B;79,4;107;86,6;84;83,8;115;40,3;367;14,1;401+;35,7;401+;67,9
106;  129=;RICE UNIVERSITY;US;M;FC;VH;5;B;50,5;222;20,2;401+;84,2;110;99,7;16;86,1;141;87,1;106;67,8
107;96;AARHUS UNIVERSITY;DK;L;FC;VH;4;A;74,9;124;63,8;201;43,3;381;81,7;95;71;204;47,1;310;67,4
108;114;LOMONOSOV MOSCOW STATE UNIVERSITY ;RU;XL;FO;VH;5;A;84,2;88;82,1;103;99,6;29;8,6;401+;13,7;401+;56,1;248;67,2
109;98;QUEEN MARY, UNIVERSITY OF LONDON (QMUL);UK;L;FC;VH;5;A;63,4;170;57,4;244;72,4;170;57,5;248;96,6;76;99,3;25;67
  110=;144;ZHEJIANG UNIVERSITY;CN;XL;FC;VH;5;A;80,2;104;80,1;110;34,2;401+;90,3;55;14;401+;20,7;401+;66,9
  110=;99;WASHINGTON UNIVERSITY IN ST. LOUIS;US;L;FC;VH;5;B;60,4;182;33,3;401+;99,9;19;76,7;125;20,8;401+;58,7;234;66,9
112;  123=;TECHNICAL UNIVERSITY OF DENMARK;DK;M;FO;VH;5;A;44,1;271;52,9;280;95,4;48;80,2;105;97,1;69;74,8;160;66,8
  113=;100;THE UNIVERSITY OF ADELAIDE;AU;L;FC;VH;5;A;75,2;122;76,5;128;42,2;396;53,9;270;93,5;105;98,6;33;66,7
  113=;  147=;UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA;CN;L;CO;VH;4;A;72,1;136;48,7;311;62,8;232;97,9;25;11,3;401+;3,5;401+;66,7
115;83;UNIVERSITÉ DE MONTRÉAL ;CA;XL;FC;VH;5;A;79,5;106;75,6;132;32,4;401+;62;207;85;151;80,1;140;66,6
116;  162=;THE HONG KONG POLYTECHNIC UNIVERSITY;HK;L;CO;VH;2;A;69,1;147;59,6;226;47;344;70,5;156;99,3;51;82;134;66,3
117;  147=;EINDHOVEN UNIVERSITY OF TECHNOLOGY;NL;M;FO;VH;4;A;50,5;226;57,3;245;99,4;34;69,6;158;100;40;26,6;401+;66,2
118;140;SUNGKYUNKWAN UNIVERSITY;KR;L;FC;VH;5;B;68,9;149;99,4;26;86,9;95;43,5;341;20;401+;27,6;401+;66,1
119;150;FREIE UNIVERSITÄT BERLIN;DE;XL;FC;HI;4;A;93,3;60;62,7;208;19,7;401+;61,3;216;60,1;244;54,6;255;65,7
120;103;NAGOYA UNIVERSITY;JP;L;FC;VH;5;A;73,7;127;58;237;93,7;61;45,7;321;19,4;401+;26,1;401+;65,6
121;160;LANCASTER UNIVERSITY;UK;M;FC;VH;4;A;59,1;185;69,2;160;45,1;360;82,3;92;91,4;121;95,8;60;65,5
122;  123=;CARDIFF UNIVERSITY;UK;L;FC;VH;5;A;63,8;169;73,3;139;66,8;204;53,8;273;71,7;201;85,7;117;65
123;119;UNIVERSITY OF MINNESOTA;US;XL;FC;VH;5;A;84,1;89;46,3;331;23,9;401+;97,4;29;7,6;401+;37,6;389;64,9
  124=;  198=;UNIVERSIDAD DE BUENOS AIRES;AR;XL;FC;HI;5;A;95,7;46;98,9;29;61,4;246;2,9;401+;30,4;398;38;385;64,6
  124=;  129=;UNIVERSITY OF GHENT;BE;XL;FC;VH;5;A;71,5;137;54,9;267;90,3;79;40,9;364;55,8;265;26,5;401+;64,6
  126=;134;HUMBOLDT-UNIVERSITÄT ZU BERLIN;DE;XL;FC;HI;5;A;96,6;43;76,6;127;23,8;401+;41,7;361;55,4;267;42,8;343;64,5
  126=;122;UNIVERSITY OF MARYLAND, COLLEGE PARK;US;XL;FC;VH;5;A;70;142;38;401+;63,3;230;82,3;94;31,2;392;37;393;64,5
  126=;  90=;ERASMUS UNIVERSITY ROTTERDAM;NL;L;FO;VH;5;A;55,1;198;90,4;73;65,7;210;67,1;168;69,2;212;65,3;206;64,5
129;  132=;UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB);US;L;CO;VH;5;A;84,4;87;28,9;401+;10,8;401+;100;5;62,7;235;44,7;329;64,3
  130=;  162=;NANJING UNIVERSITY;CN;XL;FC;VH;5;A;76,7;117;63,6;204;34,9;401+;86,5;74;38,7;345;16,5;401+;64,2
  130=;131;UNIVERSITY OF SOUTHERN CALIFORNIA;US;XL;FC;VH;5;B;70,4;141;65,1;189;42,9;389;76,7;126;34,8;371;74,1;161;64,2
132;  175=;CHALMERS UNIVERSITY OF TECHNOLOGY;SE;M;CO;VH;5;B;48,6;244;86,5;86;71,9;175;76,3;129;78,7;178;44,6;330;64
  133=;121;UNIVERSITÄT FREIBURG;DE;L;FC;VH;5;A;74,1;126;37,7;401+;59,3;257;64,7;189;58,3;255;45,4;323;63,5
  133=;111;UNIVERSITY OF PITTSBURGH;US;L;FC;VH;5;A;58,2;189;29;401+;93,8;59;67,6;166;64,6;232;33;401+;63,5
  135=;101;UNIVERSITY OF OSLO;NO;L;FC;VH;5;A;71,5;138;45,4;344;61,3;248;61,1;219;67;219;45,4;324;63,4
  135=;  151=;WAGENINGEN UNIVERSITY;NL;M;FO;VH;4;A;55,6;196;40;389;99,9;20;52,9;280;42,8;324;86,5;113;63,4
